BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Sweden"
"Country: Sweden"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SE:Sweden",Q:S:IT:4R:U:C:A:A:TO1:R:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1434,\,\,\,\,\,\,\,\,\,\,\,1021.12,1037.899,979.247,1070.153,1020.899,904.814,838.129,832.722
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:ES:4R:Q:C:A:A:TO1:A:SE,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-23.21,-23.711,-27.385,-25.715
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","SE:Sweden",Q:S:GB:4R:F:B:A:A:LC1:A:SE,,,,,,,,,261,428,344,347,380,223,3,1,9,83,61,86,45,46,1045,982,1278,1213,1050,1080,1167,1053,937,400,371,342,398,392,507,379,750,878,828,853,1160,982,814,764,818,924,943,834,1062,999,982,1143,485,516,329,323,293,278,239,235,265,245,218,310,292,201,173,183,222,342
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:AU:4R:F:C:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,296,335,81,92,59,80,209,128,276,124,211,116,99,87,83,286,100,206,256,142,418,249,404,712,538,604,532,528,578,692,991,1639,913,1348,1658.942,1255.893,1480.077,1648.642,1887.262,1534.693,1473.114,1069.893,1537.439,888.162,1041.002,591.115,1571.834,720.968
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:GR:4R:F:I:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,88,88,112,112,59,59,43,43,44,231,77,29,14,30,72,36,19,27,48,59,17,20,20,20,52,31,25,33,24,30,22,72,76,83,92,87,81,75,77,83,79,83,84,80,76,75,50,50
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:AT:4R:U:W:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,98.431,95.715,82.078,83.851,70.217,61.629,54.04,54.833
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","SE:Sweden",Q:S:ES:4R:F:B:A:A:LC1:A:SE,,,,,,,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,2,0,0,0,0,0,0,610,538,451,1,1,0.352,0.055,0.028,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:DE:4R:Q:C:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7766,-9605,-10135,-8373,-7541,-6918,-8036,-7055
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:ES:4R:F:I:A:A:TO1:A:SE,,,,,,,860,-,747,808,789,902,716,856,810,1062,851,825,941,792,758,1064,957,1199,904,1277,1372,1422,2152,2669,2296,2726,2422,2827,2947,3522,2930,3524,3754,3446,3334,2863,5013,3348,2113,1889,2210,2563,3137,2730,1968,2226,2234,2707,2489,2464,2407,2627,2487,2676,2006,1983,2026,2800,2859,2818.633,2974.517,2784.181,2672.116,2364.965,2532.735,4356.374
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:FI:4R:F:I:A:U:TO1:A:SE,,,,,,,6500,-,6767,8685,9832,8870,11098,10450,11065,10862,10721,10528,10666,8690,7279,7801,11249,6835,8116,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,592,572,573,533,368,402,421,657,556,575,600,530,717,753,744,620,769,806,624,480,568,476
