BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Ukraine"
"Country: Ukraine"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:FR:4R:U:X:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,25,798,815,824,66,1277,1382,1340,596,1228,846,913,938,917,953,864,482,646,628,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,41
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:SE:4R:F:I:A:U:TO1:A:UA,\,-,\,-,\,-,-,-,\,-,\,-,-,-,-,-,-,-,\,-,\,-,\,-,-,-,-,-,-,-,-,\,-,-,-,-,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,107,\,\,\,\,\,163,80,91,10,20,46,29.5,18.135,29.587,61.753,\,50.55,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:BE:4R:F:C:A:A:TO1:A:UA,14,-,8,-,8,-,1,-,1,-,1,-,1,-,1,-,1,-,-,-,5,-,4,-,14,18,6,6,7,7,6,10,72,80,79,149,206,144,161,151,215,307,15,18,20,20,16,29,42,42,39,68,172,200,287,481,568,649,761,783,360,314,265,186,62,83,78,30,26,24,22,40,71,44,31,60,77,77,89,102,111,110,106,100,86,45,49,44
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","UA:Ukraine",Q:S:5A:4R:U:C:A:A:TO1:R:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2322,2923,5798,6530,7144,12506,12769,13880,17191,21299,24871,29977,32883,34153,29069,29479,26718,24244,23184,26644,25377,24670,24083,22397,21749,21498,20538,21866,20540.722,20899.198,20708.155,20710.134,18532.108,18470.093,18712.032,16433.515,14858.433,13519.552,12097.768,11284.375,11252.421,10917.899
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","UA:Ukraine",Q:S:IT:4R:U:C:A:A:TO1:B:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,96,\,\,\,\,\,\,\,\,\,\,\,93.185,69.961,39.263,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","UA:Ukraine",Q:S:BE:4R:F:B:A:A:LC1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,63,130,128,126,140,131,208,294,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,1,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:5A:4R:U:C:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,4442,5295,10009,10691,12288,19037,20894,22803,30232,37487,44168,49192,52915,54010,45475,42842,39342,34775,32533,37481,36220,36843,35680,34976,34139,32105,30185,31094,28906.613,29459.407,28906.505,28471.134,25703.88,24721.093,24478.032,21911.825,19979.572,17757.545,14911.73,12958.606,13503.182,13256.73
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:BE:4R:F:I:A:U:TO1:A:UA,14,-,8,-,7,-,-,-,1,-,1,-,1,-,1,-,1,-,-,-,5,-,-,-,2,6,2,1,4,3,2,3,64,8,11,6,5,6,8,8,2,6,6,10,10,8,6,15,10,21,8,47,122,152,243,399,513,591,696,710,295,256,100,53,46,62,74,29,25,23,20,39,67,34,12,29,41,41,55,74,76,81,80,78,65,29,33,30
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","UA:Ukraine",Q:S:5A:4R:U:C:A:A:TO1:O:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,1162,1178,1344,1381,1347,2078,2524,2268,2338,3470,3757,3266,3899,3316,2628,2836,2963,2945,2937,3785,4173,5469,5458,6129,6496,4984,4443,4573,4332,4707,5153,4567,4249,3822,3459.811,3465.214,3382.414,2525.593,1984.095,1075.147,1757.732,1751.498
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:FI:4R:F:I:A:A:TO1:A:UA,0,-,0,-,5,-,4,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,0,0,0,-,0,0,0,0,0,1,0,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,\,\,\,\,-,-,-,-,0,0,-,0,0,0,0,0,0,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:FR:4R:U:C:V:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,-,-,-,-,0,-,-,-,-,-,-,2,1,4,1,-,0,0,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,\,\,\,\,\,\,\,6
