BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in France"
"Country: France"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","FR:France",Q:S:KR:4R:U:C:A:A:TO1:R:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.508,552.406,561.456,513.2,472.887,489.581,406.475,404.581
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","FR:France",Q:S:GB:4R:F:I:A:U:TO1:A:FR,,,,,,,19863,-,20625,22533,20655,18556,24950,25221,22262,21852,21801,18791,21361,19102,20237,23869,24563,34783,30833,40691,45653,43905,37895,52241,45569,52753,46288,59615,59808,67924,75147,97110,98326,106073,88804,108714,75276,89394,52918,51627,69121,75495,68650,90750,87891,90341,83665,87210,86314,98813,69230,82619,84096,85514,66239,79960,82486,76413,61970,79587,72700,66506,57715,53054,49848,47954
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:JP:4R:F:C:A:A:TO1:A:FR,,,,,,,30193,-,34714,32090,33589,33211,41747,41810,44840,51441,42743,36435,39255,40653,47386,53146,58336,61071,58218,58957,58674,64429,75567,71188,72041,76761,78485,79014,85364,88445,93880,96606,101044,105561,112313,108396,105628,97482,100601,90193,98739,103659,96807,91716,80387,94605,82048,83315,94868,87964,80864,93004,121182,140135,153564,150219,141830,149016,156533,157263,183132,175597,162341.9,158320.2,146676,152619.9
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:CH:4R:U:C:V:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18081,16790,15301,14457,17947,16015,17061,16856,20331,26026,14849,13282,20132,14499,56610,44434,35416,35918,26088,25113,32562,39188,32231,31081,33059,44217,38251,33354,32559,33422,33988,29547,26798,23358,52713.592,46941.185,47189.13,51421.425,54546.25,58139.177,42616.002,42719.856
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","FR:France",Q:S:AT:4R:U:C:A:A:TO1:B:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,9365.693,6854.326,6829.355,5975.328,5174.429,4115.769,5308.403,4014.582
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:IE:4R:U:C:V:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,493.257,567.463,640.055,638.709,600.257,617.354,423.285,498.045
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","FR:France",Q:S:FR:4B:U:C:A:A:TO1:O:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,890979,905665,866803,794554,943604,840311,860476,882818
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:AU:4R:F:I:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,2008,2265,1198,3016,1126,2618,2329,2569,3149,3145,3687,2952,3725,4137,4604,4613,7259,9932,7119,7136,9561,5856,10030,9338,11571,8586,7967,9475,10605,9216,12539,11626,8592,7788,7379.408,6971.535,7643.902,9393.832,7655.539,8507.228,7714.628,6894.95,8096.901,10130.817,10287.662,11307.581,9856.681,12533.286
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","FR:France",Q:S:CL:4R:F:I:A:U:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,11,17,30,63,92,66,15,40,25,17,42,28,8,8,8,7,30,8,11,22,15,17,12,3,11,14,55,27,34,58,58,57,64,46,42,72,40,21,27,8,18,32,25,48,49,476.182,7.56,166.459,220.371,521.166,73.664,395.881
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","FR:France",Q:S:BE:4R:U:C:A:A:TO1:B:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44448,45022,36970,42382,50198,53998,57578,77529,91109,93404,101586,75848,125409,130406,88219,78465,69380,74542,72808,54979,48364,48608,48993,48295,46702,53570,53683,50768,14760,14322,14211,11030,7797,5851,5291,4818,4617,4669,4297,4136,8430,14670,14689
