BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Belarus"
"Country: Belarus"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:5A:4C:F:C:A:A:TO1:A:BY,,,,,,,,,,,,,,,0,-,0,-,-,-,2,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:AT:4R:F:I:A:A:TO1:A:BY,0,-,4,-,18,-,24,-,32,-,32,-,28,-,31,-,25,-,24,-,28,-,18,-,24,34,46,29,30,22,20,23,29,31,36,33,40,53,53,58,61,59,62,84,140,99,434,445,531,499,516,463,574,813,877,928,1052,1061,1255,1267,1439,1270,1157,1193,1129,889,920,947,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1373.716,1336.608,1237.349
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:GR:4R:U:W:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,-,-,4,4,4,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:JP:4R:Q:C:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,0,-,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-1,-,-,-,-,-1,-1,-1,-4,-2,-2,-,-,-1,-,-1,23,29,47,32,48,52,26,-1,-1,-1,-1,-1,-1.3,-1.1,-0.2,-1.6,-1.8,-0.7,-0.3,-0.3
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:US:4R:F:C:A:A:TO1:A:BY,,,,,,,3,-,3,-,3,-,2,-,1,-,1,-,1,-,-,-,-,-,-,-,3,2,1,1,-,-,-,-,-,1,1,-,-,2,5,5,5,-,-,-,-,-,-,1,1,5,5,5,1,-,-,-,1,3,-,-,1,-,1,1,4,24,15,57,62,39,20,46,40,15,37,42,68,122,123,132,85,69,12,9,7,109
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:IT:4R:F:C:A:A:TO1:A:BY,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,342,\,\,\,\,\,\,\,\,\,\,\,241.845,251.794,226.001,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:SE:4R:F:C:A:A:TO1:A:BY,,,,,,,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,\,\,-,\,\,\,-,\,\,\,\,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6,\,\,\,\,\,4,4,3,4,3,3,\,\,\,\,4.121,\,1.511,1.731
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:TW:4R:Q:C:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,-1,-1,-1,-2,-2,-2,-2,-1
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:JP:4R:F:I:A:A:TO1:A:BY,0,-,0,-,0,-,0,-,0,-,1,-,3,-,5,-,5,-,5,-,0,-,0,-,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,6,8,10,10,4,3,0,0,1,0,26,29,15,27,28,25,18,18,28,34,32,25,21,27,16,16,18,20.1,16.7,11.8,6.9
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:IT:4R:F:I:A:A:TO1:A:BY,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,342,\,\,\,\,\,\,\,\,\,\,\,241.845,251.794,226.001,\,\,\,\,\
