BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Serbia"
"Country: Serbia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:5A:4R:F:C:A:A:TO1:A:RS,12445,16015,17887,19830,26746,27554,25714,24197,22774,20950,22152,23121,24561,22579,22713,24871,26082,27943,29609,28499,27631,27137,23920.182,29554.377,31688.388,31421.402,30704.366,30695.429,27922.751,27581.974,27815.229,24696.246,22692.163,20941.304,21614.01,22020.551
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AT:4R:F:I:A:A:TO1:A:RS,4004,4759,5380,5197,4920,5458,3712,3777,2434,2233,2598,2415,3734,3153,2757,3130,2659,3190,3684,3522,3191,2305,2110,2057,1875,1836,1781,1859,1904.047,2670.472,2625.22,1869.908,2674.728,2407.879,2950.729,2887.971
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:U:W:A:A:TO1:A:RS,,,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,9,10,15,46,42,50,64,52,39,39,31,31,31,23
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:JP:4R:F:I:A:A:TO1:A:RS,,,,80,86,84,56,56,39,56,64,69,68,65,60,56,48,45,38,39,30,30,29,20,66,98,80,54,76,72,64,58,48.7,44.6,36.2,37.9
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AU:4R:F:C:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,0.182,0.377,0.388,0.402,0.366,2.429,3.823,2.947,4.32,0.942,0.853,0.782,0.772,0.702
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RS:Serbia",Q:S:GB:4R:F:B:A:A:LC1:A:RS,,,,,,,,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:F:I:A:A:TO1:A:RS,,,28,16,14,8,4,7,9,24,25,26,19,26,28,33,33,26,26,22,22,27,44,61,73,94,53,68,76,47,48,19,-2,40,36,11
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AU:4R:F:I:A:U:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,0.019,0.046,0.034,0.052,0.043,2.047,3.053,2.275,3.478,0.022,-,0.021,0.016,0.029
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:F:C:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7567,\,\,\,\,\,\,\,\,\,\,\,8858.953,8773.268,8728.377,8015.315,7567.949,6807.425,7279.744,7328.635
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GR:4R:U:W:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,121,177,185,118,116,119,121,135
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:Q:C:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,\,\,\,\,\,-26,-25,-23,-35,-33,-32,\,\,\,\,-16.4,\,-10.535,-8.509
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RS:Serbia",Q:S:GB:4R:U:C:A:A:TO1:O:RS,,,24,14,10,6,4,2,1,1,5,-,-,3,3,5,2,2,2,-,-6,-,11,27,39,61,35,49,63,23,27,-2,-20,-10,2,-15
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:SE:4R:U:C:A:A:TO1:B:RS,\,\,-,\,-,\,\,\,\,-,-,-,\,-,-,\,1,\,\,\,\,\,1,1,2,1,1,1,\,\,\,\,1.223,\,0.755,1.337
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:GR:4R:U:C:A:A:TO1:B:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,66,79,63,46,40,30,24,57
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RS:Serbia",Q:S:GR:4R:F:B:A:A:LC1:A:RS,972,1157,1550,1554,1993,1554,1911,1678,1558,1285,1239,1389,1919,1587,1339,1546,1735,1925,1852,1950,1776,1822,1651,1798,1940,2004,1959,2100,1984,1964,2025,1888,1742,1579,1661,1708
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:FR:4R:U:C:V:A:TO1:A:RS,0,-,-,-,-,-,-,-,-,-,-,22,45,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:U:C:V:A:TO1:A:RS,,\,-,\,\,\,-,-,\,\,\,\,\,\,\,\,24,\,\,\,\,-,-,\,\,-,-,-,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:5A:4O:F:C:A:A:TO1:A:RS,12511,16376,18448,20441,27399,28230,26342,24773,23060,21144,22353,23307,24765,22730,22875,25040,26245,28143,29864,28770,27931,28518,25198.182,30870.377,33180.388,32854.402,32118.366,32146.429,28997.353,28701.465,28953.742,25791.878,23579.853,21765.822,22469.093,22888.143
