BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Germany"
"Country: Germany"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","DE:Germany",Q:S:DE:4B:U:C:A:A:TO1:F:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354210,328621,347301,310052,285586,260234,244231,245800
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","DE:Germany",Q:S:ES:4R:F:B:A:A:LC1:A:DE,,,,,,,2851,-,3303,3084,2967,3532,3264,3570,3494,4117,4049,4072,8607,8205,8935,10127,11174,11443,12707,13051,12926,13743,15752,15516,15316,15877,16261,18750,19796,20303,21790,22339,22976,24965,26693,29576,31203,30406,32915,31369,32699,34395,33349,31136,28406,31897,31258,45320,45964,43598,43506,43020,40262,42793,43508,40622,41148,43296,45898,44271.365,43595.762,40719.724,\,\,\,36435.283
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","DE:Germany",Q:S:GR:4R:F:B:A:A:LC1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,6,6,8,10,7,11,9,6,92,1,71,70,67,92,23,3,34,32,64,66,57,50,52,57,48,48
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:AT:4R:U:W:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2659.72,2288.736,2451.636,2355.025,2009.304,2068.314,2095.094,2134.382
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","DE:Germany",Q:S:JP:4R:F:B:A:A:LC1:A:DE,,,,,,,7826,-,5462,6858,7782,8063,10199,8804,8570,8394,10904,10272,13160,12283,16825,11612,15821,12604,6677,6920,6599,5809,6455,6536,6082,6090,7406,6074,6255,5919,6789,6938,7002,7434,9082,10716,10412,9319,10520,7880,8979,8806,7413,6774,6058,6714,6537,6865,6714,6364,6357,7267,8840,9131,7911,7353,8049,8602,7783,9543,9072,8107,8200.5,7831.8,7168.3,8361.7
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","DE:Germany",Q:S:US:4R:F:I:A:U:TO1:A:DE,,,,,,,30078,-,26385,31886,30365,37716,33123,32973,33793,41939,28523,36127,34650,30358,29535,23994,29237,23761,26516,33034,34277,30717,36488,43501,42211,38361,47201,48658,54757,54836,58446,69206,58885,64029,56910,65933,48407,40111,39266,100603,92928,110123,80889,82564,78924,86436,102112,103057,97088,91435,87982,96960,91457,85232,92555,84393,82454,85842,68102,72926,70890,60464,64632,80887,70890,75738
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:FR:4R:F:I:A:A:TO1:A:DE,,,,,,,67063,-,68477,64265,64764,60456,57954,78136,67251,66478,59276,64948,75266,86643,83582,97613,100321,91436,84816,96901,85354,103722,130726,103282,95868,89437,96279,109704,112273,114019,120963,139766,148245,178376,173096,196832,203066,177009,183430,182802,183359,171445,185929,\,162541,203255,186200,\,189958,117212,98734,115217,135155,114672,134775,139686,151866,142506,\,\,\,\,\,\,\,94515
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:GB:4R:U:C:V:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49351,66866,61629,55300,49470,56407,46636,45788,61040,85358,91608,103835,185297,201581,195306,283873,242684,186082,187819,154575,158384,186611,206400,162912,130406,145758,210896,201713,191994,195082,135372,132909,121263,99715,94735,87109,91625,105516,112785,124318,132367,101199,103975
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:BE:4R:U:C:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73715,65069,53244,66482,68113,67690,66040,69859,76402,69137,80140,83897,113355,110330,87973,58893,52566,51197,57760,20172,18592,18442,20334,18357,19463,16815,16401,13833,15625,13417,12559,12749,12616,11997,11017,11261,16911,17860,16350,9885,14483,10361,8009
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:CH:4R:U:X:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14633,17377,16137,18337,22434,21610,26789,23249,37091,27554,27672,34764,29772,30427,28737,25199,26840,26276,26512,9930,9643,10643,9876,10974,10447,8961,8678,8588,9258,9372,9124,8832,8775,9139,5596.321,5719.139,6717.023,5933.819,4880.183,5752.165,5848.343,5366.02
