BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Italy"
"Country: Italy"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:5A:4R:U:X:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55100,84818,91645,91073,76391,67158,74229,80326,92348,107102,97213,107162,135474,114571,106419,98873,96769,95332,77713,78804,79432,82267,80123,81320,89859,93008,81900,63563,68115,66041.401,76590.282,79613.543,76468.789,76582.863,79927.643,75476.584,80284.82,92463.989,70846.828,65481.784,66013.882,65845.105,67276.462
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:IE:4R:U:C:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,46062,52609,53708,52148,49343,47871,48477,50313,55485,57326,47126,46537,43402,45887,46669,45624,42024,40337,43719,13158,13054,12014,11015,1306,1235,1034,978,955,713,695,694,721.533,747.216,1525.152,1817.33,1819.29,1343.766,1613.999,1791.073
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:SE:4R:U:W:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,23,49,210,196,217,195,195,190,205,212,208,179,294,156,153,144,125,115,115,103,100,361,360,398,283,349,372,415,432,438,444,366,434.036,429.345,433.364,537.456,519.764,458.064,453.959,449.835
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:TW:4R:U:X:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,28,24,13,23,13,13,-,-,-,-,-,-,-,-,-,27,22,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,5,5,34,6,7,40
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:US:4R:U:X:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18518,29136,34758,39707,4113,3949,4521,4133,3152,6344,5352,4352,4105,4134,4022,4681,4003,4756,4067,4836,5561,4076,4608,5274,6578,5795,5740,4550,5568,7326,6623,6617,6648,6698,7958,8943,9626,22588,9580,8719,12821,9358,10049
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:PA:4R:F:C:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,7,33,4,2,4,3,2,2,2,2,2,2,3,3,1,1,2,-,1,-,-,-,-,-,-,-,1,17,7,2,2,1,1,1,-,-,-,-,5,5,5,5,-,-,5,5,5,5,5,-,5,5
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4B:Domestic Banks","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","IT:Italy",Q:S:IT:4B:F:B:A:A:LC1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195175.809,3209219.198,3205109.595,2936345.249,2838483.961,2564891.661,2689088.926,2660674.115
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:US:4R:U:W:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47205,53153,75614,84341,95735,91687,120331,121433,138045,142961,148281,147014,252335,253084,229662,209153,210418,195246,200871,206706,227160,237581,240895,263601,283505,271302,281483,294314,304474,324110,317659,399341,398110,408013,79394,94012,86657,92969,90622
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","IT:Italy",Q:S:AT:4R:U:C:A:A:TO1:O:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2754.217,2673.413,2462.01,2072.384,1941.817,1773.642,1949.17,2479.012
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","IT:Italy",Q:S:SE:4R:U:C:A:A:TO1:B:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,959,1180,1384,1371,1111,1266,1393,2026,1173,1765,1589,1777,1685,1381,1162,1003,977,780,956,604,518,334,296,274,271,234,355,247,190,332,484,278,306,558.097,157.189,123.245,132.731,109.786,94.311,68.982,84.738
