BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Belgium"
"Country: Belgium"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:GB:4R:F:I:A:U:TO1:A:BE,,,,,,,6435,-,12640,14267,13020,8690,8704,7764,8009,8556,7464,9157,11150,13837,10557,13714,12464,16538,16276,23444,26736,28399,30578,34027,40091,41687,35594,43444,36267,38201,39531,44514,40539,46917,37849,37011,39860,35528,28952,24520,26013,23615,20721,16371,19699,19785,16890,23006,9531,9321,11373,13261,11275,7916,7597,6107,5638,6123,6456,5319,7172,5486,6608,5667,4739,3831
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:ES:4R:U:W:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,463,652,719,852,806,800,587,454,436,489,469,436,467,536.359,251.447,294.001,226.626,244.059,211.469,245.851
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:5A:4C:F:I:A:U:TO1:A:BE,,,,,,,18242,-,17012,17362,13564,13032,12395,11686,11266,12766,12169,11246,14128,18195,13710,19488,18305,27534,44741,49169,45248,60297,67149,60938,58127,70937,58621,61140,72418,63473,94369,107645,120176,132633,144471,143379,142335,112488,38409,38488,31355,27190,30069,23509,19877,17584,16886,19135,18200,12135,10921,12616,11874.519,12676.13,12254.243,15493.5,17414.288,16291.151,16583.515,16634.959,16732.901,15846.218,17381.744,17594.639,16734.542,18665.624
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BE:Belgium",Q:S:GR:4R:U:C:A:A:TO1:F:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:JP:4R:Q:C:A:A:TO1:A:BE,,,,,,,1842,-,660,2119,858,529,329,660,80,79,132,85,-640,-471,-1,-110,-86,-442,-345,-507,-66,-357,274,61,-89,44,1321,-1615,-3159,-3592,-2740,-1029,-2422,-5336,-9418,-2720,-7453,-2450,-2986,-3185,-6975,-2280,-3221,-1478,-2989,101,-1135,-1304,-2956,-3670,-4883,-1842,-2597,-1738,-174,-191,-570,-305,-567.6,-1077.6,-903.2,-1034.5,-389.2,-553.1,-644.6,-1034.9
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:GR:4R:F:I:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,2564,2564,948,948,1579,1579,2773,2773,1966,1297,1617,794,668,1062,1845,1469,770,395,93,51,175,97,353,520,83,69,172,660,177,240,239,271,248,229,237,353,209,197,217,227,264,248,348,307,388,611,554,470
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BE:Belgium",Q:S:AT:4R:F:B:A:A:LC1:A:BE,,,,,,,,,,,,,,,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,43,44,46,46,-,-,-,-,-,-,6,5,2,-,-,-,-,-,-,-,-,-,49
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:JP:4R:U:W:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,752,885,964,759,740,654,763,837,863,758,841,1044,1158,1022,1214,938,766,791,711,585,566,332,373,305,363,341,445,372,413,430,492,411,476,404,405.5,334.6,401.5,316.6,315.2,276.5,277,249.9
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BE:Belgium",Q:S:ES:4R:U:C:A:A:TO1:R:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2219,2379,2388,2038,1925,2242,1905,1616,1534,1751,2101,1735,1589,\,\,\,2418.546,2197.031,2602.083,2601.343
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:CL:4R:F:I:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,1,2,1,2,7,6,-,5,1,1,9,1,1,3,67,12,63,12,3,2,32,16,15,16,15,19,3,11,16,13,13,17,9,2,3,6,38,28,-,2,58,74,51,120,142,218.628,168.695,1.344,1.355,2.368,2.018,4.021
