BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Armenia"
"Country: Armenia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","AM:Armenia",Q:S:GB:4R:F:B:A:A:LC1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,8,11,11,12,10,10,18,13,13,16,15,17,18,17,21,22,21,22,22,24,25,26,32,41,43,43,48,62,72,78,86,92,129,133,147,159,160,133,120,106,102,89,105,124,144,143,148,170,179,177,165,186,189,191,188,207,218,202,200,233,219,211,182,179
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AM:Armenia",Q:S:IT:4R:U:C:A:A:TO1:B:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,\,\,\,\,\,\,\,\,\,-,-,\,\,\,\,\,\,\,\,-,-,\,\,-,-,-,\,\,\,1.926,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AM:Armenia",Q:S:5A:4R:U:C:A:A:TO1:R:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,43,54,70,69,88,117,132,141,158,180,217,266,284,281,279,361,264,261,301,277,325,350,370,390,867,462,504,518,465,506,477,477,462,514,592.626,575.338,585.578,639.581,614.605,600.76,596.061,609.446
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AM:Armenia",Q:S:5A:4R:U:C:A:A:TO1:B:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,0,9,8,10,15,28,33,27,20,44,44,42,72,121,121,122,109,102,152,104,122,99,111,136,128,133,95,197,156,100,136,110,97,60.583,72.953,85.145,111.819,115.622,97.268,120.542,107.062
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:GB:4R:U:C:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,68,81,86,95,105,133,157,177,185,202,271,278,283,303,306,281,293,249,244,241,272,328,377,386,448,485,451,457,458,499,492,499,511,520,562,572,595,666,673,671,648,647
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:5A:4R:F:I:A:U:TO1:A:AM,0,-,0,-,0,-,0,-,1,-,0,-,14,-,21,-,22,-,29,-,49,-,34,-,42,63,75,70,38,50,30,37,29,23,17,38,13,11,11,13,14,15,17,16,23,19,28,22,31,35,50,68,72,68,58,83,102,113,95,119,105,114,150,120,123,207,167,175,159,184,242,249,334,553,375.002,413.001,416,404,346,342,304.899,343.76,382.221,387.407,335.117,375.401,345.252,322.204
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AM:Armenia",Q:S:BE:4R:U:C:A:A:TO1:R:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,-,-,-,-,-,-,23,-,-,5,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:US:4R:U:C:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-,-,-,-,-,-,-,-,-,5,6,-,-,4,-,97,-,-,2,1,1,-,-,-,-,2,1,2,6,1,-,-,-,6,7,24,60,56,44,52,34,5
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:5A:4R:Q:C:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,-19,-,-19,-,-35,-,0,-,-2,-7,-1,-,-7,-20,-4,-6,-3,-4,-2,1,-2,0,-1,-4,-6,-5,1,0,-4,-6,-9,-21,-26,-32,-42,-59,-53,-73,-66,-72,-72,-37,-17,-50,-21,-19,-7,-16,-17,-25,-22,-17,-22,-16,-22,-28,-62,-105,-50.002,-81.001,-136,-104,-80.023,-126.412,-199.688,-193.398,-195.76,-218.862,-211.324,-197.028,-184.703,-148.547
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AM:Armenia",Q:S:GB:4R:U:C:A:A:TO1:R:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,27,34,36,47,55,69,84,92,104,128,165,189,205,230,234,218,207,190,184,184,206,244,268,279,334,360,315,321,337,365,351,360,367,355,410,420,445,490,501,494,503,515
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:BE:4R:F:I:A:U:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,-,-,-,-,2,5,3,7,5,2,2,2,1,12,14,13,12,11
