BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Austria"
"Country: Austria"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AT:Austria",Q:S:ES:4R:U:C:A:A:TO1:R:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2030,2360,2409,2281,2368,2516,2393,2607,2604,2547,2576,2534,2558,\,\,\,2184.388,2047.871,2248.877,2289.436
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:JP:4R:U:W:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,13,17,29,30,4,5,5,23,27,24,23,22,24,32,36,38,38,21,20,21,25,24,21,23,18,37,34,31,30,27,4,12.6,1.6,1.8,2.5,3.7,9.5,6.9
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:CL:4R:F:I:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,8,5,-,4,1,-,-,-,-,1,5,7,9,8,7,9,8,6,4,-,-,-,-,2,2,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,3,2,0.468,0.186,1.78,0.184,1.285,1.39
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","AT:Austria",Q:S:FR:4R:U:C:A:A:TO1:F:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,325
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:ES:4R:F:I:A:A:TO1:A:AT,,,,,,,1332,-,1226,1190,1460,1308,1626,1248,1397,1331,1210,961,1235,1715,1661,1115,1286,1014,1413,1139,1311,1622,1873,2485,2359,2868,2314,2411,3587,2467,2525,3057,3954,3206,3256,4549,5677,4410,2953,2356,2954,4050,4344,3820,3085,3093,2802,3294,3256,3254,2560,2542,2628,2937,2785,2870,3196,2917,2601,2420.892,2145.959,1902.27,1864.088,2062.656,2136.306,2277.668
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AT:Austria",Q:S:5A:4R:F:I:A:U:TO1:A:AT,,,,,,,40465,-,40249,44059,41227,41241,40845,42096,51630,59008,47000,33966,39890,42777,41129,44880,47625,49702,46809,50344,52854,51827,56448,60279,59818,66272,59409,68435,73078,63874,71503,84169,89373,96579,92291,111028,104214,90715,62046,60333,54475,56176,50130,56435,57298,60056,52926,58561,62650,64364,51263,59532,51887.07,50786.961,49998.319,48502.169,53680.641,50257.85,41514.508,46374.326,43747.706,43824.42,38577.695,35002.441,34547.958,36585.25
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AT:Austria",Q:S:CL:4R:U:C:A:A:TO1:B:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,9,8,7,9,8,6,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.022
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AT:Austria",Q:S:GB:4R:F:I:A:U:TO1:A:AT,,,,,,,4582,-,4727,4462,4486,4833,3579,4488,5143,4883,4287,3274,3496,3799,2220,2965,3434,3567,2353,3611,2773,3025,3686,4839,5193,7054,4135,6067,4466,5332,6499,6953,5935,5377,4444,6954,8016,6679,7411,3722,2816,3771,3147,5190,4294,5037,3513,3923,2792,3491,3364,3219,3351,3254,3095,2578,3804,2500,2572,3039,2500,3111,2805,2151,2674,2681
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:ES:4R:U:W:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,161,180,200,239,262,400,293,302,316,291,302,293,283,275.923,314.926,288.897,346.053,312.087,280.665,303.076
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:DE:4R:U:X:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2243,\,\,\,\,\,\,\,\,\,\,\,3696,4415,4117,3856,3318,3285,3720,3808
