BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Marshall Islands"
"Country: Marshall Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:Q:C:A:A:TO1:A:MH,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-35,8,-8,-7,-7,-17,-,-3
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4O:F:I:A:A:TO1:A:MH,1856,1869,2064,2129,2426,2339,2559,2950,3747,4682,6080,6633,8141,8665,9551,10422,11153,12582,15528,17748,20613,23890,25287,28107,28809,31273,31931,32403,32366,32938,33119,32580,34942,36311,37217,36978,38636,37956,38187.396,38012.711,37209.985,38888.737,39126.486,38829.941,40544.828,38950.828,42292.478,43505.37,44637.455,45725.033,45926.23,47545.69
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BE:4R:F:C:A:A:TO1:A:MH,73,57,74,85,105,99,58,50,106,246,256,347,336,307,336,339,296,326,402,621,656,671,754,1086,974,1040,1177,1164,106,114,126,131,119,119,119,139,138,144,144,145,144,143,143,142,141,101,-,1,-,1,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,3768,4846,5511,6560,7158,8142,9116,9876,11643,14132,16671,17756,20168,22136,25210,25615,27352,27603,27830,27953,28465,28817,28995,30488,30663,32567,31343,31840,30697,32341.396,35376.054,34155.977,34916.718,35367.664,35950.893,27916.33,26758.598,26094.51,26099.207,30659.719,31395.681,33397.612,35565.526
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","MH:Marshall Islands",Q:S:FR:4R:U:C:A:A:TO1:O:MH,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,15,-,6,7,10,8,-,6,0,\,\,\,-,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","MH:Marshall Islands",Q:S:5A:4O:F:B:A:A:LC1:A:MH,0,0,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,69,326,57,58,59,63,75,76,81,82,81,84,84,86,160,194,107,129,128,126,126,125,84,85,83,-,62.402,57.064,58.015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:US:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,1250,1402,1667,2084,2154,2218,2493
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AT:4R:F:I:A:A:TO1:A:MH,,,,,,,,,,,0,0,1,-,-,-,-,-,-,-,\,\,-,\,-,-,-,-,2,3,2,2,2,2,2,1,\,\,\,\,\,\,\,\,\,\,\,\,\,3.694,3.519,3.298
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:ES:4R:F:I:A:U:TO1:A:MH,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2.153,\,3.03,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,,,7,9,5,7,7,6,8,6,10,16,18,16,12,10,11,12,11,6,8,10,11,9,10,3,3,3,3,3,3,3,3,2,5,13,62,26,8,5,4,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:F:I:A:U:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,10,23,41,45,76.396,74.81,80.511,110.407,180.158,173.574,267.682,304.757,308.055,267.196,286.2,248.078,257.642,284.035
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,201,\,\,\,\,\,\,\,\,\,\,\,\,\,5.621,19,2.122,\,42.675,28.628
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:Q:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,12.343,9.992,-28.019,-73.821,-72.047,-235.42,-216.012,-252.479,-199.828,-231.835,-331.698,-442.855,-476.886
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:TW:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,203,182,210,224,298,298,465,450
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:F:I:A:A:TO1:A:MH,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1355,\,\,\,\,\,\,\,\,\,\,\,1317.999,1240.296,1173.915,1149.959,1108.005,1132.163,1127.535,1157.33
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BR:4R:F:I:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:ES:4R:Q:C:A:A:TO1:A:MH,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-63.506
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:BE:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,,,,,,,,,,,1,50,1,10,67,49,47,1
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.825,34.978,2.366,2.377
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4O:F:C:A:A:TO1:A:MH,1856,1869,2073,2138,2436,2339,2559,2950,3747,4682,6080,6633,8141,8665,9551,10422,11153,12582,15528,17748,20613,23890,25296,28176,29135,31330,31989,32462,32429,33013,33195,32661,35024,36392,37301,37062,38722,38116,38381.396,38119.711,37338.985,39016.737,39252.486,38955.941,40669.828,39034.828,42377.478,43588.37,44637.455,45788.511,45983.294,47603.705
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:F:I:A:U:TO1:A:MH,209,223,349,340,506,511,741,835,938,1069,1725,1815,2079,2456,3383,3200,3726,2563,3989,4005,4641,4955,5136,5945,6107,5896,5735,5828,6512,6637,6767,7701,8397,8564,8151,8804,8904,8747,8335.396,8281.81,7996.511,10153.407,8471.158,8823.574,11189.564,8900.867,10044.675,9936.007,10708.167,10613.729,11029.681,10625.101
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1215,\,\,\,\,\,\,\,\,\,\,\,1308.74,1260.982,1198.897,1173.465,1101.795,1109.762,1104.747,1130.672
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:ES:4R:F:I:A:A:TO1:A:MH,3,7,8,20,20,20,20,20,20,19,6,6,8,23,28,33,39,40,40,40,45,50,49,62,76,106,80,105,90,91,79,64,68,69,86,123,105,169,203,139,155,176,177,184,173,170.058,159.427,144.769,154.35,157.06,150.986,274.095
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:F:C:A:A:TO1:A:MH,,,,,77,81,69,414,497,609,810,529,1649,1847,1872,2178,2405,3020,3403,4008,4581,4855,5288,5573,4997,5281,5237,5212,5308,5378,5204,4545,4642,4836,4839,4158,4151,4328,4359,4220,4294,4198,3943,4087,3912,4110,3625,3563,3395,3280,2716,2367
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","MH:Marshall Islands",Q:S:SE:4R:U:C:A:A:TO1:F:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,138.91,\,105.67,307.918
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6.333,4.377,5.702,21.905,17.176,19.409,7.294,11.086
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,43,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,11,1,1,2,2,2,2,3
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:TW:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,,,,,,,\,-,\,\,-,-,-,-,-,-,-,-,-,-,-,-,\,\,-,\,\,-,-,-,-,-,-,\,\,5,7,12,12,15,17,15,24
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","MH:Marshall Islands",Q:S:IT:4R:U:C:A:A:TO1:F:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.698,24.427,24.201,23.866,23.584,23.301,22.997,22.702
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:F:I:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3634.905,3536.674,3781.641,3967.797,4322.016,4369.337,4454.497,4573.292
