BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Marshall Islands"
"Country: Marshall Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,244,437,437,488,372,455,320,223,354,686,702,923,2203,2527,2271,2324,2454,2510,2427,2668,2616,2762,2748,3095,2707,2683,2586,2704,2740,2661,2387,2144,3627,3552,4161,4203,2210,4318,3994,4610,4379,4076,4262
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:5A:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,3755,4833,5499,6545,7144,8131,9065,9863,11634,14128,16621,17624,20132,22096,25107,25545,27287,27484,27708,27936,28449,28797,28934,30442,30591,32498,31298,31759,30582,32254.396,35188.155,33976.964,34835.164,35178.664,35763.893,27880.292,26651.706,26068.217,26077.224,27087.597,27887.091,28395.23,29970.315
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,36,19,-,20,17,25,27,25
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,0,4,2,5,-,-,14,24,19,-,21,53,81,64,85,250,214,138,212,224,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,372
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BR:4R:F:I:A:U:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.021
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1264,\,\,\,\,\,2253,2140,2119,2144,2213,2436,\,\,\,\,2920.844,\,3231.633,3423.072
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,0.078,-,-,0.407,0.623,1.991,1.627,2.936,2.718,1.234
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,117,97,82,177,174,181,181,419,330,312,449,246,223,784,739,505,310,443,178,356,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,214
