BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:F:C:A:A:TO1:A:GG,,,4233,4270,4950,5240,6078,5887,6450,6039,6227,7076,6888,6679,7758,8414,8149,7981,7860,8982,13212,16698,15648,15174,18093,18045,20017,21207,19467,18522,11980,11992,13349,12150,12115,10077,10819,10159,10146,10753,9346,8688,9311,10143,9849,10886,10717,9837,9205,9911,9998,11269,10209,10971,15162,9942,9581,9982
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:F:I:A:U:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,90.48,468.397,552.918,619.012
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4O:F:I:A:U:TO1:A:GG,0,0,4995,5031,6107,5922,5407,6196,8064,7615,8207,8856,10105,11565,9628,10024,9449,8389,8132,10277,10484,14145,14119,12949,15792,16541,18687,20777,18776,17800,14090,12032,12747,12748,11563,10621,10373,8895,10126,9169,8203,9081,9744,10099,9661.811,11232.918,10925.102,13233.823,11195.194,12332.107,14758.96,16290.018,14782.271,16116.983,17886.905,14840.331,16876.24,16227.357
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4C:Q:C:A:A:TO1:A:GG,,,,-12,-22,-15,48,35,44,63,91,-,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:F:I:A:U:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,1,78,32,82,79,149,158,155.811,158.918,197.102,216.823,233.194,245.107,246.587,262.307,197.351,134.404,113.5,50.803,13.595,24.848
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:AU:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.92
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:US:4R:F:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,2230,2458,2495,2529,3252,4781,4799
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:GR:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,6,9,8,1,2,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:BE:4R:Q:C:A:A:TO1:A:GG,,,-2,-15,-6,-51,-35,-36,-30,-23,-33,-31,-14,-21,-8,-162,-152,-30,-27,-29,-32,-34,-53,-57,-74,-82,-115,-117,-43,-29,-9,-3,\,-1,2,2,5,5,-9,4,5,5,1,6,-,-,7,1,\,\,-1,-3,-2,-1,-2,-3,-3,-4
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:DE:4R:Q:C:A:A:TO1:A:GG,,,,,,,,-2556,-3414,-2668,-3518,-2794,-2799,-3869,-3599,-4041,-4767,-3121,-2225,-2381,-2580,-2452,-1844,-750,-1001,-460,-933,-310,-508,-637,758,1430,1483,1057,1188,1131,1170,1154,1136,660,701,232,66,91,246,109,-15,-61,52,-139,-3172,-3234,-3034,-5310,-5217,-4302,-5234,-4383
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:Q:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,-0.075,-0.041,-0.053,-83.416,-1.292,-1.233,-1.175,-1.197,-1.211,-45.541,-43.644,-40.504,-44.878,-44.747
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:SE:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2917.916,3094.794,3217.975,2577.645,2660.114,2132.388,3169.394,3488.851
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GR:4R:F:I:A:A:TO1:A:GG,,,,,,,,,,,84,84,16,16,23,23,16,16,28,42,58,32,24,20,23,26,38,62,65,61,56,55,61,123,151,126,149,251,224,224,235,208,204,188,144,143,146,130,122,168,127,130,133,123,65,72,66,64
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:F:I:A:A:TO1:A:GG,,0,483,479,433,431,409,419,509,538,510,484,488,484,516,538,735,745,510,505,572,511,551,514,510,391,384,469,573,427,362,465,624,598,330,256,243,212,272,238,111,147,177,182,77,81,76,70,121,62,94.874,100.505,169.529,85.125,75.725,60.997,72.467,69.755
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:Q:C:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-241.071,-797.329,-933.756,-1330.284,-1160.961,-903.226,-1083.422,-1200.451
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:5A:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,3759,4758,5049,3799,4092,4408,4629,5559,6593,7151,6297,5370,7576,7089,6164,2144,1959,2215,2138,1907,1615,1482,1544,2028,2875,2430,2574,2280,2815,2350,2545,2470,2567,2687,2488,1210.887,1380.592,1782.153,1793.839,1697.652,1576.989,1516.807,1674.238
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:F:I:A:U:TO1:A:GG,,,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,237,\,\,\,\,\,213,176,1197,3715,2951,3395,2915.552,2918.567,3243.667,2606.321,2172.983,2130.781,3167.796,3444.716
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,906,\,\,\,\,\,\,\,\,\,\,\,526.584,537.671,463.352,484.547,539.45,354.549,239.758,245.539
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,2544,3216,3318,4645,5245,5940,3559,7503,7633,9021,8891,11063,10204,12546,10094,7822,7262,5166,2399,4337,4394,2614,3702,3374,3680,3075,3102,2189,1785,2328,3151,2606,2077,2108,2449,2724,2656,2804,2636,3064,2543,2548,2846
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,5.586,4.156,4.156
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:F:I:A:A:TO1:A:GG,0,0,210,222,62,42,286,462,666,1282,1579,2154,2136,2087,2634,2478,2552,2618,2613,2753,2833,2943,2944,2921,3884,4134,4372,4963,4630,4707,5214,4447,4511,4566,3952,4020,4151,4687,4872,4759,4956,4985,4941,4767,4911,5213,4618,8215,7896,6816,6277,5896,5796,4984,4359.7,3877.2,3608.4,3069.5
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:TW:4R:F:I:A:A:TO1:A:GG,,,9,8,10,8,11,15,26,25,34,52,34,35,70,97,103,162,232,218,325,356,466,412,383,390,296,255,168,133,97,98,144,189,260,258,215,239,208,192,168,132,144,152,187,267,247,236,253,330,314,339,349,336,300,232,226,230
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:F:C:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,849,\,\,\,\,\,\,\,\,\,\,\,509.628,550.26,492.002,498.483,540.326,367.365,251.314,255.325
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:F:I:A:A:TO1:A:GG,,,66,66,88,83,82,111,62,14,15,14,24,20,31,39,47,60,115,230,281,339,417,445,519,938,985,1112,996,816,607,672,703,753,771,777,785,901,937,921,583,657,805,642,603,766,824,835,877,1048,1057,965.934,1052.517,966.086,921.238,842.405,908.124,1005.535
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,259,222,212,191,206,172,334,348,373,612,656,699,747,768,579,374,241,361,331,304,232,296,325,577,593,634,606,697,572,594,606,563,1265,1112,1125,901,789,732,326,295,261,238,283
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FI:4R:F:I:A:U:TO1:A:GG,,,,,2,-,0,0,-,-,-,-,\,-,\,-,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:DE:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,313,278,296,127,145,103,63,100
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:BE:4R:F:B:A:A:LC1:A:GG,,,,,,,,,,,,,,,,,,,,184,202,190,171,285,324,386,344,339,331,286,0
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:F:C:A:A:TO1:A:GG,,,283,347,825,549,660,301,331,299,412,440,883,466,420,549,603,583,588,1114,912,1904,1188,1635,1813,1839,2097,2481,3684,2477,1837,1636,1762,1740,1754,1501,1349,1188,\,1629,1767,1192,1615,1236,1392,1915,1800,1994,1621,1666,\,\,\,\,\,\,\,1516
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:FR:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,499,353,331,340,596,367,488,537,680,712,777,738,979,1195,783,1083,884,676,837,849,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,940
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:DE:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,377,556,572,485,462,433,512,532
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:Q:C:A:A:TO1:A:GG,,,\,-,3,-1,-,-,-,-,-,-,-,-,-,-,-4,3,-,-,-,-1,-1,\,1,-1,\,-1,-1,\,\,1,-1,-2,-2,-3,-4,-6,-6,-7,-7,-6,-7,-88,-83,-90,-37,-34,-88,-93,-51.814,-51.78,-63.056,-63.449,-60.324,-52.033,-54.716,-49.663
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:IT:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,899,\,\,\,\,\,\,\,\,\,\,\,526.584,529.236,463.352,439.86,508.788,334.382,219.924,223.344
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GG:Guernsey",Q:S:GB:4R:U:C:A:A:TO1:O:GG,,,,,,,,,,,,,,,,4,2,2,3,-,-,-,2,6,4,6,70,66,60,135,46,64,102,75,53,64,58,60,58,42,37,33,34,34,50,52,45,43,42,60,66,70,84,360,390,318,337,58
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,3,3,5,5,11,11,91,93,87,84,88,80,81,68,80,66,55,48.43,7.695,48.436
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:AU:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,232,154,218,84,210,239,233,250,238.297,224.812,364.947,294.522,372.459,346.283,361.053,317.011,253.023,188.6,147.695,129.547,109.906,101.151
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,21,21,21,32,30,23,23,10,0,2,0,12,17,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,7089,6371,6578,6667,7261,11233,15381,13654,13205,16158,15613,16865,19408,17702,17151,10714,11310,12550,10439,10461,8495,8386,9325,8726,8355,8246,7467,8201,9223,7441,8065,8855,8606,7485,7857,8462,9422,8923,10368,14857,9661,9618,9903
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:F:I:A:U:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3822.484,3257.015,2806.885,2601.703,2003.749,1958.483,1818.896,1719.539
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GG:Guernsey",Q:S:GR:4R:U:C:A:A:TO1:O:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,38,38,35,34,30,31,31
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:F:I:A:U:TO1:A:GG,0,0,4294,4360,5259,5216,5041,5872,7600,7174,7840,8469,9778,11296,9423,9820,9190,8126,7733,9752,9982,13673,13387,12528,15322,15786,17672,20201,18234,17423,13681,11583,12248,12268,11200,10278,10011,8667,9926,8959,7899,8622,9390,9868,9373.811,10982.918,10761.102,13053.823,10944.194,12093.107,13600.732,14531.406,13991.597,15432.291,17306.67,14307.01,16164.977,15469.041
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:TW:4R:F:I:A:U:TO1:A:GG,,,,,,,1,4,5,4,10,28,21,22,60,72,81,137,205,200,303,331,438,369,351,360,268,229,133,102,74,75,117,154,208,215,184,205,162,147,124,93,103,109,146,245,241,226,243,325,314,334,344,332,20,16,12,10
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:JP:4R:F:B:A:A:LC1:A:GG,0,0,0,0,0,0,0,0,0,0,6,7,7,7,8,7,6,8,10,44,53,52,54,21,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:F:I:A:U:TO1:A:GG,,,10,44,25,0,20,23,166,39,69,114,577,90,30,89,80,76,119,547,209,958,155,233,281,353,620,665,1497,365,775,588,352,440,465,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,587
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:FR:4R:F:B:A:A:LC1:A:GG,,,0,0,0,2,0,0,0,-,-,-,-,6,14,30,23,87,28,75,23,25,79,80,73,88,91,88,84,660,130,73,80,67,59,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,2
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,2894,3860,4405,5849,7610,7915,5682,10155,10161,12403,14700,14879,15207,18001,15437,11058,11334,9737,6767,8926,6665,4551,5704,6233,6340,5334,5105,5476,5883,5884.121,6823.611,4827.215,4009.837,4453.874,4228.722,4256.205,4910.51,4986.701,4974.874,5901.475,4272.576,4468.273,4392.504
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:Q:C:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,57,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:F:I:A:U:TO1:A:GG,,,1645,1803,2275,2191,2456,2453,2962,2640,2686,3194,3130,3233,3032,3505,3375,3117,3292,3736,4816,6567,6720,4952,5937,7216,9045,10409,8400,7916,5456,5196,5611,5091,4633,3978,3784,2212,3915,2873,2702,2574,3302,3254,3027,3277,2779,2326,1954,2850,3059,3831,2664,3118,5611,2563,2512,2058
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,0,14,14,12,12,12,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:IT:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,,,,,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7,\,\,\,\,-,-,-,-,-,-,-,-,8.435,-,44.687,30.662,20.167,19.834,22.195
