BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GG:Guernsey",Q:S:JP:4R:U:C:A:A:TO1:O:GG,,,,,,,,,,,,,,,,10,17,17,17,16,29,27,28,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,1,1,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:GR:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,69,92,95,88,31,42,34,33
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:IT:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.741,448.856,386.346,273.128,249.015,234.896,134.488,135.632
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:DE:4R:F:C:A:A:TO1:A:GG,,,,,,,,6215,7259,6906,8039,7311,7035,8119,8301,8483,8881,7479,6211,7127,7568,7266,7405,8019,7613,6867,7320,7875,8474,8354,6948,5929,6632,6972,6499,6163,5541,6232,5932,5650,4807,4776,4738,4978,5106,5429,5554,5281,5064,5035,5510,5946,6017,7964,7940,6779,8014,6920
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:US:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,1956,2185,2031,2073,2596,3081,3234
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:DE:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,681,681,592,591,498,578,560
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:F:I:A:A:TO1:A:GG,0,0,8607,8213,9741,9683,9472,15116,17362,18674,20357,22930,22276,24194,24151,24828,25122,24151,22672,28020,32200,37206,36044,40011,45779,45478,47926,53982,52031,50694,42446,36903,39478,39615,37647,33365,31364,33213,32884,35862,32672,33280,33227,33343,32925.686,35931.957,33632.046,38675.706,35815.537,36079.336,35043.666,36785.788,36732.03,37729.177,39676.515,32650.422,34791.671,34968.533
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:BE:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,107,173,99,97,34,21,20,27,567,422,243,3,151,299,312,127,10,11,11,3,1,1,1,1,1,1,1,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,144,193,308,218,160,125,132,944,956,1164,1286,1641,1561,1600,1428,1167,1004,2365,523,593,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,70
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:FR:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,30,138,249,138,380,408,470,543,776,941,933,1235,1348,1602,1334,444,364,391,167,28,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,161
