BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Isle of Man"
"Country: Isle of Man"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4R:U:X:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,2543,2428,2249,2830,3938,4536,3732,4837,5050,5683,6337,6723,7032,7087,7506,6825,6083,6461,6856,6698,6693,5719,5563,4900,4730,4701,5463,4163,4242,4040.032,4275.418,6863.025,6338.027,6014.065,6403.074,5841.853,5993.187,5975.557,5660.34,5884.345,2179.951,1814.379,1724.958
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","IM:Isle of Man",Q:S:GB:4R:F:B:A:A:LC1:A:IM,,,,,,,,,218,320,502,1058,1180,1029,1196,1514,1531,1735,1114,1192,1244,1170,681,568,577,1840,2539,2886,2832,3217,3732,4254,4406,4848,5015,4555,3781,8520,9313,9314,9668,3675,3630,3813,3757,3812,3804,3473,3006,3503,3504,3562,3502,3023,2751,2829,3697,4235,4286,3868,3741,3715,3783,3499
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IM:Isle of Man",Q:S:5A:4R:U:C:A:A:TO1:F:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.095,2104.338,1289.111,1127.34,2437.675,1807.329,3272.807,3403.73
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:AT:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,35.487,29.178,28.771,23.296,23.737,1.707,1.257,1.278
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:JP:4R:U:X:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,207,400,109,356,258,108,74,98,210,129,106,368,445,498,386,232,214,197,198,177,175,82,72,66,68,64,64,63,64,57,61,60,61,61,86,84.4,108.4,107.8,113.1,117,105.7,100.7,100.9
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AT:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,1.794,1.254,0.792
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:TW:4R:U:X:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,9,9,-,7,2,2,2,-,-,-,-,-,-,-,-,-,-,2,-,3,3,-,1,7,7,8,8,4,3
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IM:Isle of Man",Q:S:BE:4R:U:C:A:A:TO1:F:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:FR:4R:F:C:A:A:TO1:A:IM,,,,,,,,,179,199,200,192,195,190,281,386,395,525,483,333,389,174,305,308,349,336,1227,406,447,488,510,560,905,1088,1369,1368,761,596,730,665,740,814,691,804,\,791,776,1112,924,807,814,960,926,830,829,793,\,\,\,\,\,\,\,958
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:DE:4R:U:X:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,206,178,166,235,280,222,160,195
