BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Russia"
"Country: Russia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:JP:4R:F:I:A:A:TO1:A:RU,1274,-,1517,-,1080,-,1249,-,929,-,717,-,568,-,797,-,985,-,1014,-,889,-,532,-,550,498,447,371,394,362,441,465,477,468,539,546,694,715,736,822,986,1108,1221,1480,1529,1578,1801,2677,4925,4086,4936,5730,6068,6254,7507,8860,10207,10302,11574,12121,12083,11146,10939,10327,9926,9652,8678,9102,8989,8723,9618,10438,12805,12030,12219,12983,13244,19229,19894,20590,19764,18817,18140,17008,14500.3,12179.4,11270.4,10314.9
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RU:Russia",Q:S:GB:4R:F:B:A:A:LC1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,43,47,50,43,60,70,-,9,9,3,2,5,3,15,2,9,29,7,4,111,78,133,124,96,173,213,222,272,302,612,238,315,481,651,1123,847,599,527,603,714,1084,1212,2133,1854,1805,1911,1792,1401,1250,1368,1549,1937,1104,1304,1262,1544,1055,1169,1406,1121,632,422,467
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:AU:4R:F:C:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,-,3,3,4,3,-,3,-,-,7,10,8,10,8,13,11,12,114,19,123,5,7,10,9,16.63,15.954,17.504,17.419,15.461,17.006,15.96,17.342,13.652,14.037,11.064,9.679,8.115,6.76
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:PA:4R:F:I:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,1,2,2,1,1,1,-,-,-,2,8,7,8,7,8,18,6,7,6,6,6,6,1,1,1,-,-,-,-,1,2,3,3,9,10,12,18,18,11,7,6,5,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:TR:4R:U:C:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,263,187,144,158,194,170,101,93,151,225,572,532,293,329,194,185,163,316,408,534,515,541,513,493,530,462,481,475,301,294,390,388,358,408,386,445,643,491.957,493.813,469.942,474.36,438.311
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RU:Russia",Q:S:GB:4R:U:C:A:A:TO1:O:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,185,156,-429,871,971,714,982,2718,1475,1685,1276,1026,995,1714,727,1647,4076,3197,2322,2892,1908,3175,2802,2621,1707,1432,3318,4508,1992,9005,6739,14238,8472,8270,3073,3305,2985,4072,1592,1044,624,536
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RU:Russia",Q:S:GR:4R:F:B:A:A:LC1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,6,5,5,5,33,4,3,3,4,4,3,2,1,1,6,10
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RU:Russia",Q:S:SE:4R:U:C:A:A:TO1:O:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,6,5,4,4,7,4,25,99,171,182,127,5,5,1,1,72,56,47,38,76,129,136,21,254,241,231,646,613,759,590,533,542,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RU:Russia",Q:S:GR:4R:U:C:A:A:TO1:B:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,112,60,79,66,64,67,26,66
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:IT:4R:U:C:V:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,401,\,\,\,\,\,\,\,\,\,\,\,30.013,48.039,32.711,96.521,121.647,44.851,48.417,28.126
