BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Netherlands"
"Country: Netherlands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:5A:4O:F:I:A:U:TO1:A:NL,,,,,,,97397,-,96381,119816,99083,105466,104847,123820,116110,121911,93949,108257,109319,106906,105748,126214,139264,139818,138299,161457,157743,156285,187839,217290,201340,215588,197054,262216,245348,254094,266442,303796,329183,321463,300729,342202,315489,302557,293729,272085,263157,293823,245177,255424,255454,264202,223533,242798,244912,246100,228493,304174,312025.69,286103.342,265038.771,263748.591,252584.125,254273.327,218337.378,214797.817,224630.361,213829.973,209164.475,223731.148,189296.258,189344.853
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:SE:4R:F:I:A:U:TO1:A:NL,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4009,\,\,\,\,\,3501,3899,3427,3001,2952,3363,3259.673,3413.032,2935.741,2558.746,\,2280.187,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","NL:Netherlands",Q:S:SE:4R:U:C:A:A:TO1:R:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406,3347,3531,4162,4032,3977,4736,4857,5480,5990,5434,5901,7404,6440,5783,5096,5728,5877,5282,5010,5081,5998,6081,6826,6874,6472,5929,6576,6211,6751,6175,5507,6692,6602,6762.132,6798.774,6794.391,6594.655,6726.877,6176.145,6305.384,6417.54
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:GB:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10813,9466,10595,12876,12827,14052,13232,15020,16818,17426,21169,18131,19354,16904,13250,22385,22001,22904,15537,13362,10785,13470,15297,16921,22551,22686,24526,23926,19003,13892,13255,17077,15699,16782,13898,14508,18447,13678,13595,13190,12287,14579,14315
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","NL:Netherlands",Q:S:JP:4R:U:C:A:A:TO1:F:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20540.7,19266.4,19221.4,19476.3
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:FI:4R:Q:C:A:A:TO1:A:NL,,,,,,,-65,-,88,5,188,54,136,66,1,-15,414,-14,10,14,38,35,43,149,65,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,75,80,-9,\,\,\,0,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","NL:Netherlands",Q:S:CH:4R:U:C:A:A:TO1:O:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:AT:4R:F:C:A:A:TO1:A:NL,,,,,,,3113,-,3127,2962,3180,3302,3281,3120,1907,1974,1929,1814,2551,2154,2514,3344,4235,4061,4336,5213,4487,4855,4877,5715,8762,8635,9183,10383,12162,11193,11461,13936,14175,15422,17250,19643,18096,16285,15528,15173,16538,16769,18262,18131,15894,16515,15233,16937,16095,15000,12354,12022,9629,9866,8692,8867,9071,8936,8637.498,9088.811,8946.308,7846.895,7495.842,6461.915,6116.145,4931.182
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:FR:4R:U:W:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5724,5855,5406,7709,8508,9444,9457,16165,22149,23482,24340,29264,30656,30732,26717,23828,22852,25082,8067,8113,\,\,\,9595,8460,8144,8784,11559,8729,8729,6744,6921,6117,6372,6638,6075,5726,4841,5187,4970,4472,4072,4339
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","NL:Netherlands",Q:S:JP:4R:U:C:A:A:TO1:B:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9365,8570,8477,10890,14994,12316,15609,18393,15081,17528,25207,21015,25242,25757,21700,7753,6694,6788,8941,7888,7959,9319,10207,9390,11422,12555,12242,11405,11045,16015,18929,20560,19089,18819,18736,17881.5,18086.6,18526.6,17212.8,16779.2,16426.5,16075.2,15553.1
